Found 90 .dat file(s) to process

[1/90] Processing: AEROD_v_1_768_1152.dat
  False Positives: 5903
  False Types: 0
  Grand Total: 5903

[38/90] Processing: ODV_dust3_1_768_1152.dat
  False Negatives: 0
  False Positives: 9462
  False Types: 0
  Grand Total: 9462

[39/90] Processing: ODV_dust4_1_768_1152.dat
  False Negatives: 0
  False Positives: 6994
  False Types: 0
  Grand Total: 6994

[40/90] Processing: ODV_ocar1_1_768_1152.dat
  False Negatives: 0
  False Positives: 13239
  False Types: 0
  Grand Total: 13239

[41/90] Processing: ODV_ocar2_1_768_1152.dat
  False Negatives: 0
  False Positives: 5996
  False Types: 0
  Grand Total: 5996

[42/90] Processing: ODV_SSLTA_1_768_1152.dat
  False Negatives: 0
  False Positives: 126
  False Types: 0
  Grand Total: 126

[43/90] Processing: ODV_SSLTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 176
  False Types: 0
  Grand Total: 176

[44/90] Processing: ODV_sulf_1_768_1152.dat
  False Negatives: 0
  False Positives: 67
  False Types: 0
  Grand Total: 67

[45/90] Processing: ODV_VOLC_MMR_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[46/90] Processing: PBLH_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[47/90] Processing: PCONVB_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[48/90] Processing: PCONVT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[49/90] Processing: PHIS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[50/90] Processing: PRECC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[51/90] Processing: PRECCDZM_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[52/90] Processing: PRECL_1_768_1152.dat
  False Negatives: 0
  False Positives: 289
  False Types: 0
  Grand Total: 289

[53/90] Processing: PRECSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 504992
  False Types: 0
  Grand Total: 504992

[54/90] Processing: PRECSH_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[55/90] Processing: PRECSL_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[56/90] Processing: PRECT_1_768_1152.dat
  False Negatives: 0
  False Positives: 100090
  False Types: 0
  Grand Total: 100090

[57/90] Processing: PS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[58/90] Processing: PSL_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[59/90] Processing: QFLX_1_768_1152.dat
  False Negatives: 0
  False Positives: 22451
  False Types: 0
  Grand Total: 22451

[60/90] Processing: QREFHT_1_768_1152.dat
  False Negatives: 0
  False Positives: 1811
  False Types: 0
  Grand Total: 1811

[61/90] Processing: RHREFHT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[62/90] Processing: SFCLDICE_1_768_1152.dat
  False Negatives: 0
  False Positives: 504992
  False Types: 0
  Grand Total: 504992

[63/90] Processing: SFCLDLIQ_1_768_1152.dat
  False Negatives: 0
  False Positives: 504992
  False Types: 0
  Grand Total: 504992

[64/90] Processing: SHFLX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[65/90] Processing: SNOWHICE_1_768_1152.dat
  False Negatives: 0
  False Positives: 87605
  False Types: 0
  Grand Total: 87605

[66/90] Processing: SNOWHLND_1_768_1152.dat
  False Negatives: 0
  False Positives: 30603
  False Types: 0
  Grand Total: 30603

[67/90] Processing: SOLIN_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[68/90] Processing: SRFRAD_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[69/90] Processing: SWCF_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[70/90] Processing: TAUX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[71/90] Processing: TAUY_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[72/90] Processing: TGCLDIWP_1_768_1152.dat
  False Negatives: 0
  False Positives: 17
  False Types: 0
  Grand Total: 17

[73/90] Processing: TGCLDLWP_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[74/90] Processing: TH2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[75/90] Processing: TMQ_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[76/90] Processing: TREFHT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[77/90] Processing: TREFMNAV_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[78/90] Processing: TREFMXAV_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[79/90] Processing: TROP_P_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[80/90] Processing: TROP_T_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[81/90] Processing: TROP_Z_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[82/90] Processing: TS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[83/90] Processing: TSMN_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[84/90] Processing: TSMX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[85/90] Processing: U2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 862
  False Types: 0
  Grand Total: 862

[86/90] Processing: UV2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 2678
  False Types: 0
  Grand Total: 2678

[87/90] Processing: UW2d_1_768_1152.dat
  False Negatives: 4
  False Positives: 7627
  False Types: 0
  Grand Total: 7631

[88/90] Processing: V2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 3797
  False Types: 0
  Grand Total: 3797

[89/90] Processing: VTH2d_1_768_1152.dat
  False Negatives: 6
  False Positives: 461
  False Types: 0
  Grand Total: 467

[90/90] Processing: W2d_1_768_1152.dat
  False Negatives: 22
  False Positives: 46442
  False Types: 0
  Grand Total: 46464

=== Summary ===
Total files processed: 90
Total files failed: 0
Total false cases across all files: 1996913
Average false cases per file: 22187.92
