Found 176 .dat file(s) to process

[1/176] Processing: ACTUAL_IMMOB_1_192_288.dat
  False Positives: 12
  False Types: 0
  Grand Total: 12

[22/176] Processing: DEADCROOTN_1_192_288.dat
  False Negatives: 0
  False Positives: 64
  False Types: 0
  Grand Total: 64

[23/176] Processing: DEADSTEMC_1_192_288.dat
  False Negatives: 0
  False Positives: 11
  False Types: 0
  Grand Total: 11

[24/176] Processing: DEADSTEMN_1_192_288.dat
  False Negatives: 0
  False Positives: 33
  False Types: 0
  Grand Total: 33

[25/176] Processing: DENIT_1_192_288.dat
  False Negatives: 11
  False Positives: 596
  False Types: 1
  Grand Total: 608

[26/176] Processing: DISPVEGC_1_192_288.dat
  False Negatives: 0
  False Positives: 8
  False Types: 0
  Grand Total: 8

[27/176] Processing: DISPVEGN_1_192_288.dat
  False Negatives: 0
  False Positives: 52
  False Types: 0
  Grand Total: 52

[28/176] Processing: DSTDEP_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[29/176] Processing: DSTFLXT_1_192_288.dat
  False Negatives: 10
  False Positives: 165
  False Types: 0
  Grand Total: 175

[30/176] Processing: DWT_CLOSS_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[31/176] Processing: DWT_CONV_CFLUX_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[32/176] Processing: DWT_CONV_NFLUX_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[33/176] Processing: DWT_NLOSS_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[34/176] Processing: DWT_PROD100C_GAIN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[35/176] Processing: DWT_PROD100N_GAIN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[36/176] Processing: DWT_PROD10C_GAIN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[37/176] Processing: DWT_PROD10N_GAIN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[38/176] Processing: DWT_SEEDC_TO_DEADSTEM_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[39/176] Processing: DWT_SEEDC_TO_LEAF_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[40/176] Processing: DWT_SEEDN_TO_DEADSTEM_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[41/176] Processing: DWT_SEEDN_TO_LEAF_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[42/176] Processing: EFLX_DYNBAL_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[43/176] Processing: EFLX_LH_TOT_R_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[44/176] Processing: EFLX_LH_TOT_U_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[45/176] Processing: ELAI_1_192_288.dat
  False Negatives: 0
  False Positives: 55
  False Types: 0
  Grand Total: 55

[46/176] Processing: ER_1_192_288.dat
  False Negatives: 10
  False Positives: 404
  False Types: 0
  Grand Total: 414

[47/176] Processing: ERRH2O_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[48/176] Processing: ERRSEB_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[49/176] Processing: ERRSOI_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[50/176] Processing: ERRSOL_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[51/176] Processing: ESAI_1_192_288.dat
  False Negatives: 0
  False Positives: 98
  False Types: 0
  Grand Total: 98

[52/176] Processing: FCEV_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[53/176] Processing: FCOV_1_192_288.dat
  False Negatives: 1
  False Positives: 2
  False Types: 0
  Grand Total: 3

[54/176] Processing: FCTR_1_192_288.dat
  False Negatives: 0
  False Positives: 297
  False Types: 0
  Grand Total: 297

[55/176] Processing: FGEV_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[56/176] Processing: FGR_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[57/176] Processing: FGR12_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[58/176] Processing: FGR_R_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[59/176] Processing: FGR_U_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[60/176] Processing: FIRA_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[61/176] Processing: FIRA_R_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[62/176] Processing: FIRA_U_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[63/176] Processing: FIRE_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[64/176] Processing: FIRESEASONL_1_192_288.dat
  False Negatives: 0
  False Positives: 28
  False Types: 0
  Grand Total: 28

[65/176] Processing: FLDS_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[66/176] Processing: FLUXFM2A_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[67/176] Processing: FLUXFMLND_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[68/176] Processing: FPG_1_192_288.dat
  False Negatives: 0
  False Positives: 89
  False Types: 0
  Grand Total: 89

[69/176] Processing: FPI_1_192_288.dat
  False Negatives: 0
  False Positives: 184
  False Types: 0
  Grand Total: 184

[70/176] Processing: FPSN_1_192_288.dat
  False Negatives: 0
  False Positives: 399
  False Types: 0
  Grand Total: 399

[71/176] Processing: FROOTC_1_192_288.dat
  False Negatives: 0
  False Positives: 14
  False Types: 0
  Grand Total: 14

[72/176] Processing: FROOTC_ALLOC_1_192_288.dat
  False Negatives: 60
  False Positives: 729
  False Types: 0
  Grand Total: 789

[73/176] Processing: FROOTC_LOSS_1_192_288.dat
  False Negatives: 9
  False Positives: 871
  False Types: 0
  Grand Total: 880

[74/176] Processing: FROOTN_1_192_288.dat
  False Negatives: 0
  False Positives: 20
  False Types: 0
  Grand Total: 20

[75/176] Processing: FSA_1_192_288.dat
  False Negatives: 0
  False Positives: 27
  False Types: 0
  Grand Total: 27

[76/176] Processing: FSA_R_1_192_288.dat
  False Negatives: 0
  False Positives: 1
  False Types: 0
  Grand Total: 1

[77/176] Processing: FSAT_1_192_288.dat
  False Negatives: 0
  False Positives: 2
  False Types: 0
  Grand Total: 2

[78/176] Processing: FSA_U_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[79/176] Processing: FSDS_1_192_288.dat
  False Negatives: 0
  False Positives: 27
  False Types: 0
  Grand Total: 27

[80/176] Processing: FSDSND_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[81/176] Processing: FSDSNDLN_1_192_288.dat
  False Negatives: 0
  False Positives: 17
  False Types: 0
  Grand Total: 17

[82/176] Processing: FSDSNI_1_192_288.dat
  False Negatives: 0
  False Positives: 5
  False Types: 0
  Grand Total: 5

[83/176] Processing: FSDSVD_1_192_288.dat
  False Negatives: 0
  False Positives: 8
  False Types: 0
  Grand Total: 8

[84/176] Processing: FSDSVDLN_1_192_288.dat
  False Negatives: 0
  False Positives: 32
  False Types: 0
  Grand Total: 32

[85/176] Processing: FSDSVI_1_192_288.dat
  False Negatives: 0
  False Positives: 5
  False Types: 0
  Grand Total: 5

[86/176] Processing: FSH_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[87/176] Processing: FSH_G_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[88/176] Processing: FSH_NODYNLNDUSE_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[89/176] Processing: FSH_R_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[90/176] Processing: FSH_U_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[91/176] Processing: FSH_V_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[92/176] Processing: FSM_1_192_288.dat
  False Negatives: 2
  False Positives: 362
  False Types: 0
  Grand Total: 364

[93/176] Processing: FSM_R_1_192_288.dat
  False Negatives: 2
  False Positives: 275
  False Types: 0
  Grand Total: 277

[94/176] Processing: FSM_U_1_192_288.dat
  False Negatives: 1
  False Positives: 63
  False Types: 0
  Grand Total: 64

[95/176] Processing: FSNO_1_192_288.dat
  False Negatives: 61
  False Positives: 346
  False Types: 0
  Grand Total: 407

[96/176] Processing: FSR_1_192_288.dat
  False Negatives: 0
  False Positives: 27
  False Types: 0
  Grand Total: 27

[97/176] Processing: FSRND_1_192_288.dat
  False Negatives: 0
  False Positives: 52
  False Types: 0
  Grand Total: 52

[98/176] Processing: FSRNDLN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[99/176] Processing: FSRNI_1_192_288.dat
  False Negatives: 0
  False Positives: 169
  False Types: 0
  Grand Total: 169

[100/176] Processing: FSRVD_1_192_288.dat
  False Negatives: 0
  False Positives: 73
  False Types: 0
  Grand Total: 73

[101/176] Processing: FSRVDLN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[102/176] Processing: FSRVI_1_192_288.dat
  False Negatives: 0
  False Positives: 4
  False Types: 0
  Grand Total: 4

[103/176] Processing: GC_HEAT1_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[104/176] Processing: GC_HEAT2_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[105/176] Processing: GC_ICE1_1_192_288.dat
  False Negatives: 0
  False Positives: 57
  False Types: 0
  Grand Total: 57

[106/176] Processing: GC_ICE2_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[107/176] Processing: GC_LIQ1_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[108/176] Processing: GC_LIQ2_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[109/176] Processing: GPP_1_192_288.dat
  False Negatives: 3
  False Positives: 395
  False Types: 0
  Grand Total: 398

[110/176] Processing: GR_1_192_288.dat
  False Negatives: 74
  False Positives: 779
  False Types: 2
  Grand Total: 855

[111/176] Processing: GROSS_NMIN_1_192_288.dat
  False Negatives: 126
  False Positives: 1105
  False Types: 1
  Grand Total: 1232

[112/176] Processing: H2OCAN_1_192_288.dat
  False Negatives: 0
  False Positives: 80
  False Types: 0
  Grand Total: 80

[113/176] Processing: H2OSNO_1_192_288.dat
  False Negatives: 0
  False Positives: 69
  False Types: 0
  Grand Total: 69

[114/176] Processing: H2OSNO_TOP_1_192_288.dat
  False Negatives: 0
  False Positives: 9
  False Types: 0
  Grand Total: 9

[115/176] Processing: HC_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[116/176] Processing: HCSOI_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[117/176] Processing: HEAT_FROM_AC_1_192_288.dat
  False Negatives: 0
  False Positives: 33
  False Types: 0
  Grand Total: 33

[118/176] Processing: HR_1_192_288.dat
  False Negatives: 12
  False Positives: 600
  False Types: 0
  Grand Total: 612

[119/176] Processing: HTOP_1_192_288.dat
  False Negatives: 0
  False Positives: 81
  False Types: 0
  Grand Total: 81

[120/176] Processing: LAISHA_1_192_288.dat
  False Negatives: 0
  False Positives: 54
  False Types: 0
  Grand Total: 54

[121/176] Processing: LAISUN_1_192_288.dat
  False Negatives: 0
  False Positives: 158
  False Types: 0
  Grand Total: 158

[122/176] Processing: landfrac_192_288.dat
  False Negatives: 0
  False Positives: 41
  False Types: 0
  Grand Total: 41

[123/176] Processing: latixy_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[124/176] Processing: latixyatm_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[125/176] Processing: LEAFC_1_192_288.dat
  False Negatives: 0
  False Positives: 6
  False Types: 0
  Grand Total: 6

[126/176] Processing: LEAFC_ALLOC_1_192_288.dat
  False Negatives: 78
  False Positives: 788
  False Types: 0
  Grand Total: 866

[127/176] Processing: LEAFC_LOSS_1_192_288.dat
  False Negatives: 84
  False Positives: 881
  False Types: 0
  Grand Total: 965

[128/176] Processing: LEAFN_1_192_288.dat
  False Negatives: 0
  False Positives: 21
  False Types: 0
  Grand Total: 21

[129/176] Processing: LITFALL_1_192_288.dat
  False Negatives: 5
  False Positives: 565
  False Types: 0
  Grand Total: 570

[130/176] Processing: LITHR_1_192_288.dat
  False Negatives: 99
  False Positives: 608
  False Types: 1
  Grand Total: 708

[131/176] Processing: LITR1C_1_192_288.dat
  False Negatives: 0
  False Positives: 69
  False Types: 0
  Grand Total: 69

[132/176] Processing: LITR1C_TO_SOIL1C_1_192_288.dat
  False Negatives: 145
  False Positives: 955
  False Types: 2
  Grand Total: 1102

[133/176] Processing: LITR1N_1_192_288.dat
  False Negatives: 0
  False Positives: 131
  False Types: 0
  Grand Total: 131

[134/176] Processing: LITR2C_1_192_288.dat
  False Negatives: 0
  False Positives: 22
  False Types: 0
  Grand Total: 22

[135/176] Processing: LITR2C_TO_SOIL2C_1_192_288.dat
  False Negatives: 129
  False Positives: 808
  False Types: 0
  Grand Total: 937

[136/176] Processing: LITR2N_1_192_288.dat
  False Negatives: 0
  False Positives: 76
  False Types: 0
  Grand Total: 76

[137/176] Processing: LITR3C_1_192_288.dat
  False Negatives: 0
  False Positives: 11
  False Types: 0
  Grand Total: 11

[138/176] Processing: LITR3C_TO_SOIL3C_1_192_288.dat
  False Negatives: 137
  False Positives: 825
  False Types: 1
  Grand Total: 963

[139/176] Processing: LITR3N_1_192_288.dat
  False Negatives: 0
  False Positives: 51
  False Types: 0
  Grand Total: 51

[140/176] Processing: LITTERC_1_192_288.dat
  False Negatives: 0
  False Positives: 12
  False Types: 0
  Grand Total: 12

[141/176] Processing: LITTERC_HR_1_192_288.dat
  False Negatives: 99
  False Positives: 608
  False Types: 1
  Grand Total: 708

[142/176] Processing: LITTERC_LOSS_1_192_288.dat
  False Negatives: 17
  False Positives: 553
  False Types: 0
  Grand Total: 570

[143/176] Processing: LIVECROOTC_1_192_288.dat
  False Negatives: 0
  False Positives: 81
  False Types: 0
  Grand Total: 81

[144/176] Processing: LIVECROOTN_1_192_288.dat
  False Negatives: 0
  False Positives: 182
  False Types: 0
  Grand Total: 182

[145/176] Processing: LIVESTEMC_1_192_288.dat
  False Negatives: 0
  False Positives: 49
  False Types: 0
  Grand Total: 49

[146/176] Processing: LIVESTEMN_1_192_288.dat
  False Negatives: 0
  False Positives: 141
  False Types: 0
  Grand Total: 141

[147/176] Processing: longxy_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[148/176] Processing: longxyatm_192_288.dat
  False Negatives: 0
  False Positives: 1717
  False Types: 0
  Grand Total: 1717

[149/176] Processing: MEAN_FIRE_PROB_1_192_288.dat
  False Negatives: 0
  False Positives: 81
  False Types: 0
  Grand Total: 81

[150/176] Processing: MR_1_192_288.dat
  False Negatives: 7
  False Positives: 488
  False Types: 1
  Grand Total: 496

[151/176] Processing: NBP_1_192_288.dat
  False Negatives: 18
  False Positives: 527
  False Types: 0
  Grand Total: 545

[152/176] Processing: NDEPLOY_1_192_288.dat
  False Negatives: 85
  False Positives: 641
  False Types: 1
  Grand Total: 727

[153/176] Processing: NDEP_TO_SMINN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[154/176] Processing: NEE_1_192_288.dat
  False Negatives: 11
  False Positives: 447
  False Types: 0
  Grand Total: 458

[155/176] Processing: NEP_1_192_288.dat
  False Negatives: 19
  False Positives: 522
  False Types: 0
  Grand Total: 541

[156/176] Processing: NET_NMIN_1_192_288.dat
  False Negatives: 102
  False Positives: 1100
  False Types: 1
  Grand Total: 1203

[157/176] Processing: NFIX_TO_SMINN_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[158/176] Processing: NPP_1_192_288.dat
  False Negatives: 8
  False Positives: 519
  False Types: 0
  Grand Total: 527

[159/176] Processing: OCDEP_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[160/176] Processing: PBOT_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[161/176] Processing: PCO2_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[162/176] Processing: PFT_CTRUNC_1_192_288.dat
  False Negatives: 7
  False Positives: 787
  False Types: 0
  Grand Total: 794

[163/176] Processing: PFT_FIRE_CLOSS_1_192_288.dat
  False Negatives: 29
  False Positives: 435
  False Types: 0
  Grand Total: 464

[164/176] Processing: PFT_FIRE_NLOSS_1_192_288.dat
  False Negatives: 2
  False Positives: 12
  False Types: 0
  Grand Total: 14

[165/176] Processing: PFT_NTRUNC_1_192_288.dat
  False Negatives: 12
  False Positives: 843
  False Types: 0
  Grand Total: 855

[166/176] Processing: PLANT_NDEMAND_1_192_288.dat
  False Negatives: 113
  False Positives: 671
  False Types: 1
  Grand Total: 785

[167/176] Processing: POTENTIAL_IMMOB_1_192_288.dat
  False Negatives: 159
  False Positives: 1064
  False Types: 1
  Grand Total: 1224

[168/176] Processing: PROD100C_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[169/176] Processing: PROD100C_LOSS_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[170/176] Processing: PROD100N_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[171/176] Processing: PROD100N_LOSS_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[172/176] Processing: PROD10C_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[173/176] Processing: PROD10C_LOSS_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[174/176] Processing: PROD10N_1_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[175/176] Processing: topo_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[176/176] Processing: topodnsc_192_288.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

=== Summary ===
Total files processed: 176
Total files failed: 0
Total false cases across all files: 36239
Average false cases per file: 205.90
