Found 90 .dat file(s) to process

[1/90] Processing: AEROD_v_1_768_1152.dat
[19/90] Processing: FSDSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[20/90] Processing: FSDTOA_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[21/90] Processing: FSNS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[22/90] Processing: FSNSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[23/90] Processing: FSNT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[24/90] Processing: FSNTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[25/90] Processing: FSNTOA_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[26/90] Processing: FSNTOAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[27/90] Processing: FSUTOA_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[28/90] Processing: ICEFRAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 721
  False Types: 0
  Grand Total: 721

[29/90] Processing: LANDFRAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 832
  False Types: 0
  Grand Total: 832

[30/90] Processing: LHFLX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[31/90] Processing: LWCF_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[32/90] Processing: MSKtem_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[33/90] Processing: OCNFRAC_1_768_1152.dat
  False Negatives: 0
  False Positives: 87
  False Types: 0
  Grand Total: 87

[34/90] Processing: ODV_bcar1_1_768_1152.dat
  False Negatives: 0
  False Positives: 24723
  False Types: 0
  Grand Total: 24723

[35/90] Processing: ODV_bcar2_1_768_1152.dat
  False Negatives: 0
  False Positives: 1085
  False Types: 0
  Grand Total: 1085

[36/90] Processing: ODV_dust1_1_768_1152.dat
  False Negatives: 0
  False Positives: 1974
  False Types: 0
  Grand Total: 1974

[37/90] Processing: ODV_dust2_1_768_1152.dat
  False Negatives: 0
  False Positives: 3916
  False Types: 0
  Grand Total: 3916

[38/90] Processing: ODV_dust3_1_768_1152.dat
  False Negatives: 0
  False Positives: 9432
  False Types: 0
  Grand Total: 9432

[39/90] Processing: ODV_dust4_1_768_1152.dat
  False Negatives: 0
  False Positives: 9985
  False Types: 0
  Grand Total: 9985

[40/90] Processing: ODV_ocar1_1_768_1152.dat
  False Negatives: 0
  False Positives: 9442
  False Types: 0
  Grand Total: 9442

[41/90] Processing: ODV_ocar2_1_768_1152.dat
  False Negatives: 0
  False Positives: 5200
  False Types: 0
  Grand Total: 5200

[42/90] Processing: ODV_SSLTA_1_768_1152.dat
  False Negatives: 0
  False Positives: 32
  False Types: 0
  Grand Total: 32

[43/90] Processing: ODV_SSLTC_1_768_1152.dat
  False Negatives: 0
  False Positives: 9
  False Types: 0
  Grand Total: 9

[44/90] Processing: ODV_sulf_1_768_1152.dat
  False Negatives: 0
  False Positives: 18
  False Types: 0
  Grand Total: 18

[45/90] Processing: ODV_VOLC_MMR_1_768_1152.dat
  False Negatives: 0
  False Positives: 55860
  False Types: 0
  Grand Total: 55860

[46/90] Processing: PBLH_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[47/90] Processing: PCONVB_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[48/90] Processing: PCONVT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[49/90] Processing: PHIS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[50/90] Processing: PRECC_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[51/90] Processing: PRECCDZM_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[52/90] Processing: PRECL_1_768_1152.dat
  False Negatives: 0
  False Positives: 171
  False Types: 0
  Grand Total: 171

[53/90] Processing: PRECSC_1_768_1152.dat
  False Negatives: 0
  False Positives: 504992
  False Types: 0
  Grand Total: 504992

[54/90] Processing: PRECSH_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[55/90] Processing: PRECSL_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[56/90] Processing: PRECT_1_768_1152.dat
  False Negatives: 0
  False Positives: 8
  False Types: 0
  Grand Total: 8

[57/90] Processing: PS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[58/90] Processing: PSL_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[59/90] Processing: QFLX_1_768_1152.dat
  False Negatives: 0
  False Positives: 5139
  False Types: 0
  Grand Total: 5139

[60/90] Processing: QREFHT_1_768_1152.dat
  False Negatives: 0
  False Positives: 1059
  False Types: 0
  Grand Total: 1059

[61/90] Processing: RHREFHT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[62/90] Processing: SFCLDICE_1_768_1152.dat
  False Negatives: 0
  False Positives: 504992
  False Types: 0
  Grand Total: 504992

[63/90] Processing: SFCLDLIQ_1_768_1152.dat
  False Negatives: 0
  False Positives: 504992
  False Types: 0
  Grand Total: 504992

[64/90] Processing: SHFLX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[65/90] Processing: SNOWHICE_1_768_1152.dat
  False Negatives: 0
  False Positives: 551
  False Types: 0
  Grand Total: 551

[66/90] Processing: SNOWHLND_1_768_1152.dat
  False Negatives: 0
  False Positives: 28070
  False Types: 0
  Grand Total: 28070

[67/90] Processing: SOLIN_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[68/90] Processing: SRFRAD_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[69/90] Processing: SWCF_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[70/90] Processing: TAUX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[71/90] Processing: TAUY_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[72/90] Processing: TGCLDIWP_1_768_1152.dat
  False Negatives: 0
  False Positives: 3
  False Types: 0
  Grand Total: 3

[73/90] Processing: TGCLDLWP_1_768_1152.dat
  False Negatives: 0
  False Positives: 1
  False Types: 0
  Grand Total: 1

[74/90] Processing: TH2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[75/90] Processing: TMQ_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[76/90] Processing: TREFHT_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[77/90] Processing: TREFMNAV_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[78/90] Processing: TREFMXAV_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[79/90] Processing: TROP_P_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[80/90] Processing: TROP_T_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[81/90] Processing: TROP_Z_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[82/90] Processing: TS_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[83/90] Processing: TSMN_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[84/90] Processing: TSMX_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[85/90] Processing: U2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[86/90] Processing: UV2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[87/90] Processing: UW2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 4751
  False Types: 0
  Grand Total: 4751

[88/90] Processing: V2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[89/90] Processing: VTH2d_1_768_1152.dat
  False Negatives: 0
  False Positives: 0
  False Types: 0
  Grand Total: 0

[90/90] Processing: W2d_1_768_1152.dat
  False Negatives: 1
  False Positives: 8319
  False Types: 0
  Grand Total: 8320

=== Summary ===
Total files processed: 90
Total files failed: 0
Total false cases across all files: 1688914
Average false cases per file: 18765.71
